product_id,slug,title,category,sub_category,pet_type,is_pet_product,active,tags,cj_product_id,cj_spu,cost,price,currency,image_url,updated_at
1996064726721794050,stylish-and-spacious-foldable-soft-pet-carrier-for-dogs-and-cats,Stylish And Spacious Foldable Soft Pet Carrier For Dogs And Cats,Dogs,general,dog,true,true,,,,0.00,9.95,USD,/media/products/1996064726721794050/0_807e43267b88.jpg,2025-12-29T09:57:50.324Z
1996111912750710786,dog-bed-warm-plush-pet-bed-with-removable-washable-cover-versatile-dog-mat-for-i,"Dog Bed - Warm Plush Pet Bed With Removable Washable Cover, Versatile Dog Mat For Indoor Outdoor Use",Dogs,general,dog,true,true,,,,0.00,9.95,USD,/media/products/1996111912750710786/0_a2399e5892cf.jpg,2025-12-29T09:57:50.325Z
1996100265990180865,outdoor-cat-play-tent-with-tunnel-portable-cat-playhouse-for-indoor-outdoor-cat-,"Outdoor Cat Play Tent With Tunnel, Portable Cat Playhouse For Indoor Outdoor, Cat Playpen Enclosed F",Cats,general,cat,true,true,,,,0.00,9.95,USD,/media/products/1996100265990180865/0_4f38c1693e63.jpg,2025-12-29T09:57:50.325Z
1993916062320009218,gardner-small-dog-outdoor-waterproof-portable-breathable-mesh-pet-bed-with-three,Gardner Small Dog Outdoor Waterproof Portable Breathable Mesh Pet Bed With Three-Sided Guardrail Sel,Dogs,general,dog,true,true,,,,0.00,9.95,USD,/media/products/1993916062320009218/0_4863364b85fb.png,2025-12-29T09:57:50.325Z
1993885211980353537,pet-tear-stain-removal-powder-natural-and-gentle-formula-eye-and-fur-care-tear-s,"Pet Tear Stain Removal Powder - Natural And Gentle Formula, Eye And Fur Care, Tear Stain Removal And",Dogs,general,dog,true,true,,,,0.00,9.95,USD,/media/products/1993885211980353537/0_a6c4151ed4e1.png,2025-12-29T09:57:50.325Z
1993882260050169858,pet-dental-powder-freshens-breath-protects-gums-and-strengthens-teeth-an-essenti,"Pet Dental Powder - Freshens Breath, Protects Gums And Strengthens Teeth. An Essential For Daily Ora",Dogs,general,dog,true,true,,,,0.00,9.95,USD,/media/products/1993882260050169858/0_3e87f764e444.png,2025-12-29T09:57:50.325Z
1993155042347737090,2-in-1-pet-grooming-gloves-brushes-for-cats-and-dogs-high-efficiency-hair-remova,2-in-1 Pet Grooming Gloves & Brushes For Cats And Dogs High-Efficiency Hair Removal & Massage Gloves,Dogs,general,dog,true,true,,,,0.00,9.95,USD,/media/products/1993155042347737090/0_6dad70552797.png,2025-12-29T09:57:50.325Z
1993006928471289857,pet-stroller-4-wheels-dog-stroller-carrier-160lbs-weight-capacity-portable,Pet Stroller 4-Wheels Dog Stroller Carrier 160lbs Weight Capacity Portable,Dogs,general,dog,true,true,,,,0.00,9.95,USD,/media/products/1993006928471289857/0_d55ac741e38d.jpg,2025-12-29T09:57:50.325Z
1993039311227625473,wood-pet-stairspet-steps-2-in-1-foldable-wooden-dog-stair-for-beds-sofa-and-cars,"Wood Pet Stairs/Pet Steps, 2-in-1 Foldable Wooden Dog Stair For Beds, Sofa And Cars, Dog Stairs & Ra",Dogs,general,dog,true,true,,,,0.00,9.95,USD,/media/products/1993039311227625473/0_adf8d8af1675.jpg,2025-12-29T09:57:50.325Z
1993007032305479682,pet-stroller-foldable-4-wheels-travel-dog-stroller-reversible-handle-up-to-44lbs,Pet Stroller Foldable 4 Wheels Travel Dog Stroller Reversible Handle Up To 44lbs,Dogs,general,dog,true,true,,,,0.00,9.95,USD,/media/products/1993007032305479682/0_58771ca26a15.jpg,2025-12-29T09:57:50.325Z
